facility_name,city,state,design_flow_mgd,violations_3yr,npdes_ids,receiving_waters,latitude,longitude
CLIMAX MINE,SUMMIT COUNTY,CO,220.0,2,CO0000248,,39.447679,-106.157176
METRO WASTEWATER RECLAMATION DISTRICT,DENVER,CO,220.0,9,CO0026638 COG650106 COL026638 COR407022 COR409406 COR418091 COR419219 COR900820,,39.81497,-104.95923
LAS VEGAS ST WWTF,COLORADO SPRINGS,CO,75.0,1,CO0026735 COE008000 COG073559 COR900069,,38.816468,-104.813097
ROCKY MOUNTAIN STEEL MILL,PUEBLO,CO,57.0,6,CO0000621,,38.31305,-104.63548
LITTLETON/ENGLEWOOD WWTP,ENGLEWOOD,CO,50.0,6,CO0032999 COG650019 COL032999 COR900821,,39.66133,-105.00381
METRO WASTEWATER RECLAMATION DISTRICT- NORTHERN TREATMENT PLANT,BRIGHTON,CO,28.8,6,CO0048959 COL048959 COR901322,,40.004,-104.822
75TH STREET WASTEWATER TREATMENT PLANT,BOULDER,CO,25.0,5,CO0024147 COG072107 COG650038 COR090019 COR900986,,40.048596,-105.186653
DRAKE WATER RECLAMATION FACILITY,FORT COLLINS,CO,23.0,6,CO0047627 COE016000 COG318127 COR900823,,40.555276,-105.020555
JD PHILLIPS WATER RECLAMATION FACILITY,COLORADO SPRINGS,CO,20.0,9,CO0046850,,38.89463,-104.825545
JAMES R DILORIO WATER RECLAMATION FACILITY,PUEBLO,CO,19.0,4,CO0026646 COG073480 COG074072 COG318070 COG603148 COG650045 COL026646 COL603148 COR03O252 COR403201 COR900079,,38.25657,-104.57752
GREELEY WWTP,GREELEY,CO,14.7,9,CO0040258 COG073149 COG074130 COG080276 COL040258 COR900833,,40.423628,-104.676788
CITY OF LONGMONT WASTEWATER TREATMENT PLANT,LONGMONT,CO,13.0,9,CO0026671 COG072608 COG074248 COG075139 COG076337 COG076343 COG076924 COG080810 COG080883 COG650009 COR03N829 COR03T624 COR03V063 COR400688 COR401889 COR405147 COR421160 COR900110,,40.157778,-105.095833
MILLERCOORS LLC,GOLDEN,CO,13.0,12,CO0001163 CO0048964 COG600324 COG605013 COR900377,,39.756667,-105.219167
PERSIGO WASTEWATER TREATMENT PLANT,GRAND JUNCTION,CO,12.5,2,CO0040053 COR900826,,39.082778,-108.593333
BROOMFIELD WWTP,BROOMFIELD,CO,12.0,6,CO0026409 COG072630 COG650063 COR427454 COR900636,,39.9213,-105.02351
BIG DRY CREEK WWTP,WESTMINSTER,CO,11.9,4,CO0024171 COE003000 COG071997 COG073221 COG650024 COR900119 COR901608,,39.934167,-104.994722
CITY DITCH DECHLORINATION BLDG WTF,DENVER COUNTY,CO,10.0,0,CO0048721 COG600547,,39.686944,-104.96525
CITY OF LOVELAND WASTEWATER TREATMENT PLANT,LOVELAND,CO,10.0,6,CO0026701 COG073704 COG075822 COG080788 COG081420 COR03Q905 COR401815 COR405909 COR429627 COR900109,,40.383333,-105.05
RAINBOW PARK  WWTP,FLORENCE,CO,8.5,0,CO0039748 CONOX0124,,38.388266,-105.074013
MARCY GULCH WWTF,LITTLETON,CO,8.48,3,CO0037966 COE002000 COG650017 CONOX0920 COR900113,,39.555751,-105.036544
SOUTH ADAMS COUNTY WATER AND SANITATION DISTRCT INCORPORATED,HENDERSON,CO,8.0,2,CO0026662 COG073535 COG074909 COG650027 CONOX0515 COR900827,,39.87131,-104.91169
GLENWOOD HOT SPRINGS LODGE AND POOL,GLENWOOD SPRINGS,CO,6.5,0,CO0048958 COG600308,,39.54892,-107.3239
PLUM CREEK WW AUTHORITY PLANT1,CASTLE ROCK,CO,6.44,5,CO0038547 COG650032 COL038547 CONOX0865 COR900096,,39.427006,-104.904846
JOINT WATER PURIFICATION PLANT,ARAPAHOE COUNTY,CO,6.3,0,CO0047589,,39.57081,-104.80488
MULBERRY WWTP,FORT COLLINS,CO,6.0,1,CO0026425,,40.582481,-105.061415
